Words;Occurrences
microbiot;1
microbiota-brain communication;1
microbiota-directed foods and drugs;1
microbiota-gut-brain axis;1
microbiota-gut-brain axis study;1
microbiota-mediated drug metabolism;1
microbiota–host interactions;1
microbiota (microorganism);1
microbiota diversity;1
microbiota functionality;1
microbiota transfer;1
microbiota/genetics;1
microorganisms;1
microrna-146a;1
microrna-155;1
microrna-repository;1
midgut microbiome;1
migraine;1
milk;1
minimal bacterial genome;1
minion;1
minion mk1c;1
minor stroke;1
mir-155;1
mir-21;1
mirna;1
mirnas;1
miseq;1
mitochondrial biogenesis;1
mitochondrial dysfunction;1
mlst;1
mmp9;1
mobile genetic elements (mge);1
mode of action;1
models  immunological;1
moderate–late preterm infant;1
molecular ecological network;1
molecular ecology;1
molecular interaction networks;1
molecular sequence annotation;1
monozygotic twins;1
morganella;1
mosquitoes;1
motor cortical excitability;1
mouse;1
mouse trial;1
ms1-only;1
msi;1
mucosa-associated microbiota;1
mucus;1
mud crab;1
multi-drug resistant tb disease;1
multi-modal bioinfomation;1
multi-omic;1
multi-omics approach;1
multi-omics approaches;1
multi-omics data;1
multi-targets;1
multidimensional data;1
multidrug-resistant enterobacteriaceae;1
multiomics;1
multiple sclerosis/genetics/immunology/microbiology;1
multivariate causal mediation;1
musashi2;1
mycobacteroides;1
myokines;1
nad metabolism;1
naïve bayesian rdp classifier;1
nasal;1
natural product;1
neo4j;1
neoadjuvant chemoradiotherapy;1
neonatal intensive care unit;1
neonicotinoids;1
nepal;1
nervous system diseases;1
nested case-control study;1
network analysis;1
network diffusion;1
networking;1
networks;1
neural network;1
neuroactive compounds;1
neurobehavior;1
neurobehavioral symptoms;1
neurochemistry;1
neurodegeneration;1
neurodevelopment;1
neurodevelopmental disorders;1
neuroinflammation;1
neurometabolites;1
neuronal loss;1
neuropsychiatric symptoms;1
neuroscience;1
neurotransmitter;1
new-onset type 2 diabetes;1
newborns;1
next-generation physiology;1
nf-kb (p50/p65);1
ngs;1
ngs sequencing;1
nicotine;1
nigeria;1
nitrogen metabolism;1
nkg2d;1
nlrp6 inflammasome;1
nmnat2;1
nod-like receptors (nlrs);1
nod mice;1
non-alcoholic steatohepatitis;1
non-caloric artificial sweeteners;1
non-nutritive sweeteners;1
nonalcoholic fatty liver disease;1
nonalcoholic fatty liver disease (nafld);1
noncoding rnas;1
noninvasive;1
noninvasive diagnosis;1
nontuberculous mycobacterial (ntm) infection;1
notch;1
notch 1 signaling;1
nrf2;1
nuclear magnetic resonance;1
nucleotide sequences;1
nucleus accumbens;1
nutritional screening;1
obesity index;1
obesogens;1
observational study;1
obstructive sleep apnea–hypopnea syndrome;1
occupational exposure;1
ocular immunology;1
ocular inflammation;1
ocular microbiota;1
odoribacter splanchnicus;1
olfactomedin 4;1
olfm4;1
oligonucleotide array sequence analysis;1
omalizumab;1
omics techniques;1
oncolytic virus;1
one health;1
ontology;1
operational taxonomic units;1
opportunistic microorganisms;1
oral-gut fungal correlations;1
oral–gut connection;1
oral fungal microbiome;1
oral microbes;1
oral microbiota transplantation;1
oral organisms;1
oral tolerance;1
ordination analysis;1
organic acid;1
organoids;1
origins of metabolites;1
ornstein-uhlenbeck process;1
oropharyngeal taxa;1
other therapeutics;1
outer membrane vesicles;1
oxford nanopore technologies;1
oxford nanopore technologies (ont);1
oxford nanopore technology;1
oxidative stress response;1
oxygen;1
oyster;1
p-cresyl sulfate;1
p-cresyl sulfate (pcs);1
pakistan;1
pan-core;1
pangenome;1
parabacteroides distasonis;1
parkinson disease;1
pass;1
pathobiome;1
pathogenesis;1
pathogenic;1
pathogenicity;1
pathogens;1
pathology;1
pathophysiology;1
pathway tools;1
patient stratification;1
patient survival;1
patients’ stratification;1
pattern recognition;1
pattern recognition receptors (prrs);1
pcna;1
pcr;1
pdcs;1
penalization;1
percentage survival;1
periodontal disease;1
periodontopathic bacteria;1
perioperation;1
peritoneal dialysis;1
personalised medicine;1
personalization;1
personalized precise medication;1
pfos;1
phage-host interaction;1
phage-related diseases;1
phage discovery;1
phage tail-associated protein domains;1
phages;1
pharma;1
pharmacomicrobiomics;1
phenotype;1
phlebotomus;1
phospholipid;1
phospholipids;1
phosphotransferase system;1
phylogenetics;1
physiological effects;1
phytochemicals;1
phytoestrogens;1
phytonutrients;1
phytonutritional epigenomics;1
picrust;1
pig;1
pig farming;1
piglets;1
plant foraging;1
plant products;1
plaque psoriasis;1
plasma endogenous metabolites;1
plasmids;1
plasticity;1
platinum-based chemotherapy;1
poisson process;1
polygenic risk score (prs);1
polyglutamine repeat;1
polygonatum sibiricum;1
polyphenol degradation;1
polysaccharide utilization loci;1
polyunsaturated fatty acids;1
pomegranate peel extract;1
pooling estimates;1
population-level metataxonomic analysis;1
population genetics;1
population level survey;1
population structure;1
porphyromonas gingivalis;1
post-biotics;1
post-translational modification;1
power law extensions;1
pre- and post-radiation effects;1
pre-diabetes;1
pre-pregnancy body mass index;1
precancerous adenoma;1
precision nutrition;1
preculturing;1
predict host phenotype;1
prediction model;1
predictive modeling;1
pregnancy weight gain;1
prehypertension;1
prematurity;1
preschool children;1
preterm;1
preterm infant;1
prevalence;1
prevention;1
primary biliary cholangitis;1
primary nephrotic syndrome;1
primary osteoporosis;1
primary sjögren’s syndrome;1
primary tumour;1
primate-focused tourism;1
primer degeneracy;1
probabilistic models;1
probiotic engraftment;1
progression;1
proinflammatory factor;1
prokaryotes;1
propionate;1
propsilocerus akamusi;1
prospective design;1
prostaglandins;1
protein;1
protein–protein interactions;1
protein annotation;1
protein domain tandem arrays;1
proteins;1
proteomic;1
proteus;1
proton pump inhibitors;1
prototheca;1
pseudomonas;1
pseudomonas aeruginosa pneumonia;1
psoriasis;1
psychiatry;1
psychological symptoms;1
public health;1
pulmonary tuberculosis;1
purification;1
pyrogallol;1
pyrotinib-induced diarrhea;1
pyrotinib maleate;1
qa-1;1
qiime 2;1
qing re jie du fang decoction;1
qinghai-tibet plateau;1
qinghai-tibetan plateau;1
qpcr;1
quantitative pcr;1
quantitative proteomics;1
quercetin;1
quorum quenching;1
quorum sensing;1
quorum sensing inhibition;1
radiation damages;1
radiomicrobiomics;1
radiotherapy;1
random effect;1
rare biosphere;1
reactive oxygen species;1
read counts;1
receptors;1
recombinant proteins;1
recombination;1
rectal cancer;1
rectal swab;1
rectum;1
redox metabolism;1
reference standard;1
reference values;1
refractory ascites;1
reinforcement learning;1
relapse;1
relapsing-remitting multiple sclerosis;1
relational databases;1
relationship;1
renin-angiotensin system;1
renin angiotensin system;1
renointestinal distress;1
reproducibility;1
reproducibility of results;1
residual renal function (rrf);1
resilience 3;1
resistance;1
resistant sugar;1
respiration;1
retina;1
retinopathy of prematurity;1
reverse microbiomics;1
reverse vaccinology;1
rhesus monkey;1
rheumatic diseases;1
rhinitis;1
rhizoma coptidis;1
rho gtpases;1
rhythmicity;1
ribosomal taxonomy;1
ribosomes/genetics;1
rifampicin-resistant tuberculosis;1
risk;1
risk assessment;1
rna;1
rna-binding proteins;1
rna  ribosomal  16s/genetics;1
rna interference;1
rodent models;1
roseburia;1
rotavirus a;1
rotenone;1
route search;1
roux-en-y gastric bypass;1
ruminococcus bromii;1
ruminococcus gnavus;1
s  aureus  gut;1
saccharomyces boulardii cncm i-745;1
salinity;1
saliva;1
saliva microbiota;1
salivary microbiome;1
salmonella;1
salmonella infection;1
salmonella typhimurium;1
sandflies;1
sankey network;1
saponin;1
sar;1
sars-cov2;1
saxs;1
schisandra chinensis;1
second-line anti-tuberculosis drugs;1
sedentary behavior;1
sediment microbial communities;1
segmental heterogeneity;1
seizure control;1
seizures;1
semi-supervised learning;1
senescence;1
sensitivity;1
sequence analysis;1
serine proteases;1
serotonin;1
serum metabolites;1
serum metabolome;1
serum metabolomics;1
serum uremic toxin;1
severity;1
severity of ibs;1
sexual orientation;1
shared mucosal-associated microbiota;1
shellfish;1
shikimate pathway;1
short?chain fatty acids;1
short stay;1
shotgun metagenomic sequencing;1
shotgun metagenomics;1
shotgun metagenomics sequencing;1
shotgun sequencing;1
sibo;1
signaling pathway;1
signature;1
sim01;1
simulated cultivation;1
single-cell;1
single-cell genomics;1
single-nucleotide variant;1
sirtuins;1
small molecules;1
sociability;1
socioeconomic status;1
solid food;1
soy;1
spacer;1
sparse microbial associations;1
spatial memory;1
species-level taxonomy;1
species abundance;1
species identification;1
specific physiological characteristics;1
spinocerebellar ataxia;1
spleen;1
spleen–kidney-yang deficiency;1
spondyloarthritis;1
spontaneous bacterial peritonitis;1
sports nutrition;1
st131;1
st7;1
standard care;1
standards;1
starch utilization system;1
stat3;1
statistical modeling;1
stemi;1
stochastic processes;1
stomach microhabitat;1
stunting;1
sub-saharan africa;1
subdoligranulum;1
sucroferric oxyhydroxide;1
sugar-sweetened beverages;1
sugar binding affinity;1
sulfate- and sulfite-reducing bacteria;1
sulfate and sulfite reducing bacteria;1
sulfoglycolysis;1
sulfonate;1
sulfonolipid;1
sulfur metabolism;1
support vector machine;1
support vector machines;1
surface-enhanced raman spectroscopy;1
survival;1
suse;1
suse-like;1
swine farm;1
symbiosis;1
symptomatic dermographism;1
symptomatic intracranial aneurysms;1
synbiotic;1
synbiotic formula;1
synbiotics;1
synergistic effect;1
synonymous mutation;1
synthetic biology;1
systemic inflammatory response;1
t-bhq;1
t cell immunity;1
t7;1
tandem mass tags;1
tanimoto coefficient;1
target prediction;1
targeted metabolomics;1
tauopathy;1
taurine;1
taurodeoxycholic acid;1
taxonogenomics;1
taxonomic analysis;1
taxonomic annotation;1
taxonomic classification;1
taxonomic markers;1
taxonomy;1
taxonomy assignment;1
taylor's power law;1
tbph;1
technical variation;1
temperament;1
tenericutes;1
terminal electron acceptor;1
terminal ileum;1
tflx;1
th17 cells (th17);1
the elderly;1
therapeutic efficacy;1
therapeutic responses;1
therapeutics;1
thoroughbred horses;1
tibetan;1
tibetan macaque;1
tight junctions;1
time-series;1
time?restricted eating;1
tir domain structure/activity relationships;1
tlr4 signaling pathway;1
tlr4/md2;1
tm7;1
tnf;1
toddlers;1
tongue coating microbiota;1
toxicities;1
toxicology;1
toxicomicrobiomics;1
toxin;1
toxin-antitoxin system;1
tracheal injury;1
training set;1
trans-omic;1
transcranial magnetic stimulation;1
transcriptome;1
transcriptomics;1
transfer learning;1
transient bacteremia;1
translatability;1
translation;1
transport;1
transporters;1
traumatic brain injury;1
traveller’s diarrhea;1
travelling to tropical regions;1
tree shrew;1
treg/th17 balance;1
tregs;1
tregs (regulatory t cells);1
trimethylamine-n-oxide concentration (tmao);1
trinucleotide repeat disease;1
tropical area;1
tropical birds;1
tryptophan;1
tryptophan metabolism;1
tumor;1
tumor immunotherapy;1
tumour necrosis factor inhibitors;1
type-2 diabetes;1
type 2;1
type ii;1
type iii;1
uc;1
udca;1
ugt1a1;1
uhplc-q-tof ms;1
ulcerative;1
unconjugated bilirubin;1
uncultured bacteria;1
uncultured metagenomic species;1
unknown protein;1
unsupervised learning;1
untargeted plasma metabolomics;1
urban/rural environments;1
urbanization;1
uremia;1
uremic cardiomyopathy;1
urolithins;1
ursodiol;1
uti;1
uyghur;1
uyghur nationality;1
v1–v3;1
vaccine;1
vaccines;1
vagus;1
vagus nerve;1
validated biomarkers;1
vancomycin-resistant enterococcus faecium;1
vanillin catabolism;1
variable regions;1
varroa;1
vascular calcification;1
vegetables;1
veillonella;1
veillonellaceae;1
verrucomicrobia;1
vertical transmission;1
very low birth weight;1
viral changes;1
viral hepatitis;1
viral metagenomics;1
viral mock communities;1
viral pneumonia;1
virulence factors;1
virus-bacteria linkages;1
virus subtypes;1
viruses;1
visceral adipose tissue;1
vitamin k2;1
vitamin metabolism;1
vitamins;1
vo2max;1
volatile organic compound;1
vonoprazan;1
weaned piglets;1
weaning;1
well water;1
western diet;1
whole genome;1
whole grain;1
whole metagenomic shotgun sequencing;1
wild;1
wild mice;1
wildlife disease;1
wildtype littermates;1
workflow;1
wound microbiome;1
wxxxe motif;1
x-ray irradiation;1
xanthine oxidase;1
xenoestrogens;1
xuanbai–chengqi decoction;1
xuanfei baidu decoction;1
xylitol;1
yaobitong capsule;1
yogurt;1
young male patients;1
zebrafish;1
zero-inflated beta;1
zonulin;1
zoonosis;1
??t cells;1
?-3 fatty acids;1
